name,league,rank,prev_rank,off,def,spi
odd bk,norwegian tippeligaen,395.000,380.000,1.000,1.700,30.000
orlando city sc,major league soccer,396.000,394.000,1.100,1.900,29.800
chicago fire,major league soccer,397.000,397.000,1.100,1.900,29.300
fc tosno,russian premier liga,398.000,398.000,1.000,1.700,29.100
excelsior,dutch eredivisie,399.000,400.000,1.100,1.900,28.700
barnsley,english league championship,400.000,401.000,1.000,1.800,28.700
niort,french ligue 2,401.000,402.000,1.100,1.900,28.500
olimpo,argentina primera division,402.000,403.000,0.900,1.600,28.400
new england revolution,major league soccer,403.000,396.000,1.100,1.900,28.400
salernitana,italy serie b,404.000,405.000,0.800,1.600,27.900
hearts,scottish premiership,405.000,406.000,0.700,1.500,27.900
us pescara,italy serie b,406.000,407.000,0.900,1.600,27.800
wolfsberger ac,austrian t-mobile bundesliga,407.000,404.000,0.900,1.600,27.800
sochaux,french ligue 2,408.000,408.000,1.000,1.800,27.800
dc united,major league soccer,409.000,412.000,1.000,1.900,27.700
as nancy lorraine,french ligue 2,410.000,409.000,0.800,1.600,27.700
sogndal,norwegian tippeligaen,411.000,411.000,1.000,1.900,27.200
brescia,italy serie b,412.000,413.000,0.800,1.600,27.100
halmstads bk,swedish allsvenskan,413.000,414.000,0.900,1.700,27.100
cashpoint sc rheindorf altach,austrian t-mobile bundesliga,414.000,410.000,0.800,1.600,26.900
ascoli,italy serie b,415.000,419.000,0.700,1.500,26.900
burton albion,english league championship,416.000,416.000,0.900,1.800,26.800
valenciennes,french ligue 2,417.000,417.000,1.100,2.000,26.800
bolton,english league championship,418.000,418.000,0.900,1.800,26.600
virtus entella,italy serie b,419.000,415.000,0.600,1.300,26.600
real salt lake,major league soccer,420.000,431.000,1.000,2.000,26.500
sevilla atletico,spanish segunda division,421.000,436.000,0.800,1.700,26.400
novara,italy serie b,422.000,421.000,0.700,1.500,26.400
aalesund,norwegian tippeligaen,423.000,422.000,1.100,2.100,26.300
avellino,italy serie b,424.000,423.000,0.800,1.600,26.300
orlans,french ligue 2,425.000,424.000,1.000,2.000,26.200
vancouver whitecaps,major league soccer,426.000,433.000,1.000,1.900,26.200
fc twente,dutch eredivisie,427.000,425.000,1.000,1.900,26.100
ternana,italy serie b,428.000,426.000,1.100,2.200,26.000
jonkopings sodra if,swedish allsvenskan,429.000,427.000,0.800,1.600,25.800
lillestrom,norwegian tippeligaen,430.000,420.000,0.900,1.800,25.700
