name,league,rank,prev_rank,off,def,spi
tigre,argentina primera division,231.000,228.000,1.200,1.200,44.000
fc utrecht,dutch eredivisie,232.000,230.000,1.600,1.700,43.900
metz,french ligue 1,233.000,232.000,1.300,1.400,43.700
botafogo,brasileiro srie a,234.000,231.000,1.200,1.200,43.600
chaves,portuguese liga,235.000,233.000,1.400,1.500,43.500
cordoba,spanish segunda division,236.000,258.000,1.400,1.500,43.500
new york red bulls,major league soccer,237.000,213.000,1.400,1.500,43.400
akhisar belediye,turkish turkcell super lig,238.000,236.000,1.300,1.400,43.400
portimonense,portuguese liga,239.000,237.000,1.500,1.600,43.400
millwall,english league championship,240.000,238.000,1.200,1.300,43.300
coritiba,brasileiro srie a,241.000,239.000,1.200,1.300,43.200
ad alcorcon,spanish segunda division,242.000,248.000,0.900,0.900,43.100
arminia bielefeld,german 2. bundesliga,243.000,240.000,1.300,1.400,43.000
atlanta united fc,major league soccer,244.000,243.000,1.300,1.500,42.800
atltico tucumn,argentina primera division,245.000,244.000,1.100,1.200,42.700
anzhi makhachkala,russian premier liga,246.000,246.000,1.300,1.400,42.500
brest,french ligue 2,247.000,247.000,1.200,1.300,42.500
hammarby,swedish allsvenskan,248.000,245.000,1.500,1.600,42.500
bate borisov,uefa europa league,249.000,249.000,1.300,1.400,42.300
clermont foot,french ligue 2,250.000,250.000,1.200,1.300,42.200
ankaraspor,turkish turkcell super lig,251.000,251.000,1.400,1.500,42.200
pachuca,mexican primera division torneo apertura,252.000,252.000,1.300,1.500,42.200
sv darmstadt 98,german 2. bundesliga,253.000,253.000,1.200,1.400,42.200
preston north end,english league championship,254.000,254.000,1.100,1.300,42.100
fc groningen,dutch eredivisie,255.000,255.000,1.300,1.500,42.000
sheffield united,english league championship,256.000,257.000,1.200,1.300,41.800
boavista,portuguese liga,257.000,259.000,1.000,1.200,41.700
newell's old boys,argentina primera division,258.000,260.000,1.000,1.100,41.700
sivasspor,turkish turkcell super lig,259.000,261.000,1.300,1.500,41.600
reus deportiu,spanish segunda division,260.000,241.000,0.800,0.900,41.300
nk maribor,uefa champions league,261.000,262.000,1.400,1.700,41.200
fk austria vienna,austrian t-mobile bundesliga,262.000,366.000,1.400,1.600,41.100
sv mattersburg,austrian t-mobile bundesliga,263.000,277.000,1.300,1.600,41.000
belenenses,portuguese liga,264.000,263.000,1.100,1.300,40.900
lanus,argentina primera division,265.000,264.000,1.000,1.100,40.900
frosinone,italy serie b,266.000,266.000,1.100,1.300,40.900
hibernian,scottish premiership,267.000,267.000,1.400,1.700,40.700
atltico goianiense,brasileiro srie a,268.000,268.000,1.100,1.300,40.600
gimnasia la plata,argentina primera division,269.000,269.000,1.100,1.300,40.600
fortuna dsseldorf,german 2. bundesliga,270.000,270.000,1.300,1.600,40.500
goztepe,turkish turkcell super lig,271.000,272.000,1.100,1.400,40.300
zln,uefa europa league,272.000,273.000,1.100,1.300,40.300
fk qarabag,uefa champions league,273.000,275.000,1.200,1.400,40.300
aberdeen,scottish premiership,274.000,276.000,1.100,1.300,40.200
ac ajaccio,french ligue 2,275.000,279.000,1.200,1.400,40.200
real oviedo,spanish segunda division,276.000,256.000,1.100,1.300,40.000
hull city,english league championship,277.000,280.000,1.300,1.600,40.000
san martin san juan,argentina primera division,278.000,281.000,1.100,1.300,40.000
derby county,english league championship,279.000,282.000,1.200,1.500,39.900
morelia,mexican primera division torneo apertura,280.000,283.000,1.300,1.500,39.800
sarpsborg,norwegian tippeligaen,281.000,297.000,1.400,1.700,39.700
lask linz,austrian t-mobile bundesliga,282.000,278.000,1.200,1.400,39.600
rosario central,argentina primera division,283.000,285.000,1.200,1.400,39.500
sporting kansas city,major league soccer,284.000,265.000,1.200,1.400,39.400
toronto fc,major league soccer,285.000,271.000,1.300,1.600,39.400
almeria,spanish segunda division,286.000,284.000,0.900,1.100,39.400
lorient,french ligue 2,287.000,287.000,1.200,1.500,39.200
estoril praia,portuguese liga,288.000,288.000,1.100,1.300,39.200
yeni malatyaspor,turkish turkcell super lig,289.000,289.000,1.000,1.300,39.100
tondela,portuguese liga,290.000,290.000,1.200,1.500,39.100
bari,italy serie b,291.000,291.000,1.000,1.300,39.000
msv duisburg,german 2. bundesliga,292.000,292.000,1.300,1.600,38.900
new york city fc,major league soccer,293.000,274.000,1.300,1.700,38.900
ponte preta,brasileiro srie a,294.000,293.000,1.100,1.300,38.900
granada,spanish segunda division,295.000,296.000,1.200,1.400,38.900
fc sheriff tiraspol,uefa europa league,296.000,294.000,1.100,1.400,38.900
puebla,mexican primera division torneo apertura,297.000,295.000,1.200,1.500,38.800
ava,brasileiro srie a,298.000,298.000,1.100,1.400,38.500
feirense,portuguese liga,299.000,299.000,1.000,1.300,38.400
len,mexican primera division torneo apertura,300.000,300.000,1.300,1.700,38.300
vfl bochum,german 2. bundesliga,301.000,301.000,1.100,1.500,38.300
maritimo,portuguese liga,302.000,302.000,1.100,1.400,38.300
willem ii,dutch eredivisie,303.000,303.000,1.400,1.800,38.200
fc barcelona ii,spanish segunda division,304.000,313.000,1.200,1.600,38.100
